date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:24	171/171	---MC-	200	added ('OK')	text/plain	date:Sun,%2022%20Dec%202024%2021:29:24%20GMT	https://alpha-wave.ai/robots.txt		(from )
13:29:24	56538/56538	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202024%2018:08:41%20GMT	https://alpha-wave.ai/	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/index.html	(from )
13:29:25	5842/5842	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202024%2021:29:25%20GMT	https://gmpg.org/xfn/11	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/gmpg.org/xfn/11.html	(from https://alpha-wave.ai/)
13:29:25	3392/3392	---M--	200	added ('OK')	image/png	etag:%226752c16f-d40%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/apple-touch-icon.png	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/apple-touch-icon.png	(from https://alpha-wave.ai/)
13:29:25	1002/1002	---M--	200	added ('OK')	image/png	etag:%226752c16f-3ea%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/favicon-32x32.png	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/favicon-32x32.png	(from https://alpha-wave.ai/)
13:29:26	792/792	---M--	200	added ('OK')	image/png	etag:%226752c16f-318%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/favicon-16x16.png	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/favicon-16x16.png	(from https://alpha-wave.ai/)
13:29:26	426/426	---M--	200	added ('OK')	application/octet-stream	etag:%226752c16f-1aa%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/site.webmanifest	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/site.webmanifest	(from https://alpha-wave.ai/)
13:29:26	1050/1050	---M--	200	added ('OK')	image/svg+xml	etag:%226752c16f-41a%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/safari-pinned-tab.svg	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/safari-pinned-tab.svg	(from https://alpha-wave.ai/)
13:29:26	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%226752c16f-3aee%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/favicon.ico	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/favicon.ico	(from https://alpha-wave.ai/)
13:29:26	246/246	---M--	200	added ('OK')	text/xml	etag:%226752c16f-f6%22	https://alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/browserconfig.xml	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-content/themes/alpha-wave/assets/favicon/browserconfig.xml	(from https://alpha-wave.ai/)
13:29:27	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sun,%2022%20Dec%202024%2021:29:27%20GMT	https://alpha-wave.ai/wp-admin/admin-ajax.php	C:/Users/mkhal/OneDrive/Desktop/LARP/alphawave/alpha-wave.ai/wp-admin/admin-ajax.php	(from https://alpha-wave.ai/)
